"","field_1","date","time","geo_code","crime_cate","address","latitude","longitude"
"75",434031,"02/17/2018","17:30","606-03","Theft","2500 PHILO RD ,URBANA,IL","40.08606515","-88.1873468510269"
"76",434033,"02/17/2018","21:20","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"77",434058,"02/18/2018","13:43","546-15","Theft","500 W UNIVERSITY AVE ,URBANA,IL","40.11657","-88.212937"
"78",434059,"02/18/2018","15:00","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"79",434064,"02/18/2018","21:15","605-04","Theft","1700 PHILO RD ,URBANA,IL","40.098258","-88.190636"
"80",434070,"02/19/2018","00:01","546-15","Theft","500 W UNIVERSITY AV ,URBANA,IL","40.11657","-88.212937"
"81",434071,"02/19/2018","01:00","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"82",434080,"02/19/2018","12:00","546-09","Theft","1000 W UNIVERSITY AV ,URBANA,IL","40.116499","-88.22089"
"83",434087,"02/19/2018","18:00","576-09","Theft","100 E MICHIGAN AV ,URBANA,IL","40.102054","-88.207022"
"84",434122,"02/21/2018","09:45","519-07","Theft","1800 CUNNINGHAM AV ,URBANA,IL","40.115082","-88.207283"
"85",434162,"02/22/2018","13:00","547-11","Theft","200 N VINE ST ,URBANA,IL","40.11403845","-88.2029918291859"
"86",434165,"02/22/2018","14:30","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"87",434168,"02/22/2018","16:00","548-09","Theft","2100 E UNIVERSITY AV ,URBANA,IL","40.1147810086461","-88.181386325437"
"88",434170,"02/22/2018","17:30","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"89",434278,"02/24/2018","10:30","575-03","Theft","800 W GREEN ST ,URBANA,IL","40.110692","-88.217891"
"90",434285,"02/24/2018","16:00","576-01","Theft","300 S BROADWAY AV ,URBANA,IL","40.110901","-88.2067709"
"91",434286,"02/24/2018","16:15","547-11","Theft","100 N VINE ST ,URBANA,IL","40.112621","-88.204867"
"92",434294,"02/24/2018","21:31","546-15","Theft","400 W UNIVERSITY AV ,URBANA,IL","40.116573","-88.210995"
"93",434307,"02/25/2018","12:52","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"94",434328,"02/26/2018","10:00","519-07","Theft","1600 CUNNINGHAM AV ,URBANA,IL","40.115082","-88.207283"
"95",434344,"02/26/2018","21:00","606-03","Theft","2500 PHILO RD ,URBANA,IL","40.08606515","-88.1873468510269"
"96",434428,"02/28/2018","19:00","577-05","Theft","1 HUNTER ,URBANA,IL","40.103802","-88.187537"
"97",434429,"02/28/2018","19:00","577-05","Theft","1 HUNTER ,URBANA,IL","40.103802","-88.187537"
"98",434450,"03/01/2018","11:17","606-01","Theft","1600 E FLORIDA AV ,URBANA,IL","40.0983788064076","-88.1897802208819"
"99",434471,"03/01/2018","20:13","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"100",434472,"03/01/2018","20:13","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"101",434476,"03/01/2018","21:43","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"102",434484,"03/02/2018","05:15","547-11","Theft","200 N VINE ST ,URBANA,IL","40.11403845","-88.2029918291859"
"103",434503,"03/02/2018","18:26","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"104",434504,"03/02/2018","18:26","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"105",434526,"03/03/2018","00:50","519-07","Theft","1800 CUNNINGHAM AV ,URBANA,IL","40.115082","-88.207283"
"106",434545,"03/03/2018","19:30","547-11","Theft","200 N VINE ST ,URBANA,IL","40.11403845","-88.2029918291859"
"107",434555,"03/04/2018","01:50","547-11","Theft","200 N VINE ST ,URBANA,IL","40.11403845","-88.2029918291859"
"108",434562,"03/04/2018","12:00","606-03","Theft","2500 PHILO RD ,URBANA,IL","40.08606515","-88.1873468510269"
"109",434563,"03/04/2018","13:14","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"110",434602,"03/05/2018","16:15","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"111",434648,"03/06/2018","12:37","547-08","Theft","300 E UNIVERSITY AV ,URBANA,IL","40.116406","-88.204813"
"112",434656,"03/06/2018","13:30","576-12","Theft","1200 EASTERN DR ,URBANA,IL","40.104329","-88.194381"
"113",434666,"03/06/2018","19:45","606-03","Theft","2500 PHILO RD ,URBANA,IL","40.08606515","-88.1873468510269"
"114",434689,"03/07/2018","08:15","606-01","Theft","1600 E FLORIDA AV ,URBANA,IL","40.0983788064076","-88.1897802208819"
"115",434783,"03/09/2018","19:45","576-03","Theft","200 S COTTAGE GROVE AV ,URBANA,IL","40.1117140208333","-88.1956817395833"
"116",434798,"03/10/2018","16:00","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"117",434821,"03/11/2018","09:00","546-15","Theft","500 W MAIN ST ,URBANA,IL","40.11366","-88.213262"
"118",434832,"03/11/2018","15:05","547-11","Theft","400 N VINE ST ,URBANA,IL","40.1146467652826","-88.2049457661981"
"119",434890,"03/13/2018","11:12","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"120",434892,"03/13/2018","12:51","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"121",434898,"03/13/2018","16:15","575-03","Theft","100 N BUSEY AV ,URBANA,IL","40.112921","-88.217637"
"122",434910,"03/13/2018","21:25","547-11","Theft","200 N VINE ST ,URBANA,IL","40.11403845","-88.2029918291859"
"123",434919,"03/14/2018","13:10","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"124",434922,"03/14/2018","14:45","547-08","Theft","500 CUNNINGHAM AV ,URBANA,IL","40.115082","-88.207283"
"125",434942,"03/15/2018","01:30","548-09","Theft","2100 E UNIVERSITY AVE ,URBANA,IL","40.1147810086461","-88.181386325437"
"126",434954,"03/15/2018","09:00","575-07","Theft","700 W CALIFORNIA AV ,URBANA,IL","40.108359","-88.216178"
"127",434966,"03/15/2018","11:55","546-10","Theft","600 W UNIVERSITY ,URBANA,IL","40.10052135","-83.7614354501606"
"128",435019,"03/16/2018","11:30","605-04","Theft","1700 PHILO RD ,URBANA,IL","40.098258","-88.190636"
"129",435053,"03/17/2018","14:54","577-11","Theft","1300 OGELTHORPE AV ,URBANA,IL","40.1031051515152","-88.1748331111111"
"130",435061,"03/17/2018","19:03","519-07","Theft","1800 CUNNINGHAM AV ,URBANA,IL","40.115082","-88.207283"
"131",435101,"03/19/2018","12:00","547-03","Theft","2400 N PROSPECT ,URBANA,IL","39.1099089","-84.5083693"
"132",435108,"03/19/2018","13:15","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"133",435113,"03/19/2018","14:00","546-14","Theft","100 N LINCOLN AVE ,URBANA,IL","40.112344","-88.219223"
"134",435135,"03/20/2018","10:30","547-11","Theft","200 N BROADWAY AV ,URBANA,IL","40.117583","-88.207549"
"135",435136,"03/20/2018","11:00","578-02","Theft","100 S HIGH CROSS RD ,URBANA,IL","40.11162535","-88.159429400138"
"136",435150,"03/20/2018","18:00","547-03","Theft","800 OAKLAND AV ,URBANA,IL","40.1238958591752","-88.1999227725193"
"137",435178,"03/21/2018","19:00","576-01","Theft","100 W MAIN ST ,URBANA,IL","42.225004","-91.872551"
"138",435180,"03/21/2018","20:00","606-01","Theft","1700 E FLORIDA AVE ,URBANA,IL","40.098355","-88.188683"
