"","date","time","geo_code","crime_category","address"
"418791","01/01/2017","12:00","577-07","Sex Offenses","2200 EASY ST ,URBANA,IL"
"420616","02/23/2017","12:50","546-10","Sex Offenses","800 HILL ST ,URBANA,IL"
"421313","03/10/2017","13:00","577-05","Sex Offenses","1400 S LIERMAN AVE ,URBANA,IL"
"421425","03/13/2017","10:40","605-06","Sex Offenses","600 COLORADO AV ,URBANA,IL"
"421945","03/26/2017","19:30","547-08","Sex Offenses","600 CUNNINGHAM AV ,URBANA,IL"
"422823","04/20/2017","12:00","605-04","Sex Offenses","1800 S COTTAGE GROVE ,URBANA,IL"
"423749","05/16/2017","19:40","546-03","Sex Offenses","1300 N LINCOLN AV ,URBANA,IL"
"424634","06/09/2017","11:30","576-16","Sex Offenses","1200 E FLORIDA ,URBANA,IL"
"424890","06/15/2017","18:40","576-16","Sex Offenses","1 LINDEN DR ,URBANA,IL"
"425273","06/24/2017","23:30","635-02","Sex Offenses","1900 SUMMIT DR ,URBANA,IL"
"425603","07/03/2017","00:30","546-13","Sex Offenses","1000 SPRINGFIELD AV ,URBANA,IL"
"427814","09/01/2017","08:00","546-15","Sex Offenses","200 N RACE ST ,URBANA,IL"
"428141","09/08/2017","13:15","606-01","Sex Offenses","1500 E FLORIDA AV ,URBANA,IL"
"428620","09/20/2017","19:52","576-05","Sex Offenses","100 W CALIFORNIA AV ,URBANA,IL"
"428673","09/22/2017","08:56","546-05","Sex Offenses","1300 DUBLIN ST ,URBANA,IL"
"430214","11/01/2017","12:00","605-04","Sex Offenses","1700 E BLOCK FLORIDA ,URBANA,IL"
"431487","12/05/2017","07:00","547-02","Sex Offenses","1300 CUNNINGHAM AVE ,URBANA,IL"
"432972","01/18/2018","13:30","547-11","Sex Offenses","400 N VINE ST ,URBANA,IL"
"433812","02/10/2018","04:00","605-07","Sex Offenses","1000 E HARDING DR ,URBANA,IL"
"434093","02/19/2018","22:00","518-02","Sex Offenses","2500 OAK ST ,URBANA,IL"
"434612","03/05/2018","22:00","575-03","Sex Offenses","700 W ELM ST ,URBANA,IL"
"435708","04/07/2018","10:10","518-08","Sex Offenses","1000 KILLARNEY ST ,URBANA,IL"
"436641","05/01/2018","16:30","605-08","Sex Offenses","1200 E HARDING DR ,URBANA,IL"
"436886","05/08/2018","11:29","576-09","Sex Offenses","1200 S VINE ST ,URBANA,IL"
"436957","05/09/2018","20:50","546-08","Sex Offenses","800 N WRIGHT ST ,URBANA,IL"
"438657","06/27/2018","01:15","546-05","Sex Offenses","1100 N GOODWIN AV ,URBANA,IL"
"439573","07/20/2018","20:00","546-14","Sex Offenses","400 W MAIN ST ,URBANA,IL"
"439863","07/28/2018","02:10","546-12","Sex Offenses","1 SPRINGFIELD AVE ,URBANA,IL"
"440178","08/04/2018","16:30","576-05","Sex Offenses","200 E WASHINGTON ST ,URBANA,IL"
"442443","09/27/2018","15:33","576-09","Sex Offenses","1000 S RACE ST ,URBANA,IL"
"442499","09/29/2018","01:14","546-11","Sex Offenses","100 W PARK ST ,URBANA,IL"
"443767","10/28/2018","12:35","578-02","Sex Offenses","100 S HIGH CROSS RD ,URBANA,IL"
"443797","10/29/2018","11:14","605-08","Sex Offenses","2000 S PHILO RD ,URBANA,IL"
"444155","11/06/2018","23:00","575-07","Sex Offenses","700 W CALIFORNIA AV ,URBANA,IL"
"446530","01/09/2019","18:00","546-01","Sex Offenses","1300 N ROMINE ST ,URBANA,IL"
"447101","01/24/2019","08:00","546-01","Sex Offenses","1500 N CARVER DR ,URBANA,IL"
"447510","02/03/2019","18:30","605-08","Sex Offenses","1200 MITCHEM DR ,URBANA,IL"
"448681","03/04/2019","14:18","576-09","Sex Offenses","1200 S VINE ST ,URBANA,IL"
"449145","03/14/2019","23:48","547-08","Sex Offenses","800 E PARK ST ,URBANA,IL"
